"module name","licenses","repository","licenseUrl","parents"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens","https://github.com/lydell/js-tokens/raw/master/LICENSE","cards"
"js-yaml@3.14.1","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","cards"
"json-buffer@3.0.0","MIT","https://github.com/dominictarr/json-buffer","https://github.com/dominictarr/json-buffer/raw/master/LICENSE","cards"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","cards"
"json-stable-stringify-without-jsonify@1.0.1","MIT","https://github.com/samn/json-stable-stringify","https://github.com/samn/json-stable-stringify/raw/master/LICENSE","cards"
"keyv@3.1.0","MIT","https://github.com/lukechilds/keyv","https://github.com/lukechilds/keyv/raw/master/LICENSE","cards"
"latest-version@5.1.0","MIT","https://github.com/sindresorhus/latest-version","https://github.com/sindresorhus/latest-version/raw/master/license","cards"
"levn@0.4.1","MIT","https://github.com/gkz/levn","https://github.com/gkz/levn/raw/master/LICENSE","cards"
"lie@3.1.1","MIT","https://github.com/calvinmetcalf/lie","https://github.com/calvinmetcalf/lie/raw/master/license.md","cards"
"localforage@1.9.0","Apache-2.0","https://github.com/localForage/localForage","https://github.com/localForage/localForage/raw/master/LICENSE","cards"
"lodash@4.17.20","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","cards"
"lowercase-keys@1.0.1","MIT","https://github.com/sindresorhus/lowercase-keys","https://github.com/sindresorhus/lowercase-keys/raw/master/license","cards"
"lowercase-keys@2.0.0","MIT","https://github.com/sindresorhus/lowercase-keys","https://github.com/sindresorhus/lowercase-keys/raw/master/license","cacheable-request:cards"
"lru-cache@4.1.5","ISC","https://github.com/isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache/raw/master/LICENSE","memorystore:cards"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache","https://github.com/isaacs/node-lru-cache/raw/master/LICENSE","cards"
"make-dir@3.1.0","MIT","https://github.com/sindresorhus/make-dir","https://github.com/sindresorhus/make-dir/raw/master/license","cards"
"make-error@1.3.6","ISC","https://github.com/JsCommunity/make-error","https://github.com/JsCommunity/make-error/raw/master/LICENSE","cards"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer","https://github.com/jshttp/media-typer/raw/master/LICENSE","cards"
"memorystore@1.6.4","MIT","https://github.com/roccomuso/memorystore","https://github.com/roccomuso/memorystore/raw/master/LICENSE","cards"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors","https://github.com/component/merge-descriptors/raw/master/LICENSE","cards"
"merge2@1.4.1","MIT","https://github.com/teambition/merge2","https://github.com/teambition/merge2/raw/master/LICENSE","cards"
"methods@1.1.2","MIT","https://github.com/jshttp/methods","https://github.com/jshttp/methods/raw/master/LICENSE","cards"
"micromatch@4.0.2","MIT","https://github.com/micromatch/micromatch","https://github.com/micromatch/micromatch/raw/master/LICENSE","cards"
"mime-db@1.44.0","MIT","https://github.com/jshttp/mime-db","https://github.com/jshttp/mime-db/raw/master/LICENSE","cards"
"mime-types@2.1.27","MIT","https://github.com/jshttp/mime-types","https://github.com/jshttp/mime-types/raw/master/LICENSE","cards"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime","https://github.com/broofa/node-mime/raw/master/LICENSE","cards"
"mimic-response@1.0.1","MIT","https://github.com/sindresorhus/mimic-response","https://github.com/sindresorhus/mimic-response/raw/master/license","cards"
"minimatch@3.0.4","ISC","https://github.com/isaacs/minimatch","https://github.com/isaacs/minimatch/raw/master/LICENSE","cards"
"minimist@1.2.5","MIT","https://github.com/substack/minimist","https://github.com/substack/minimist/raw/master/LICENSE","cards"
"mkdirp@0.5.5","MIT","https://github.com/substack/node-mkdirp","https://github.com/substack/node-mkdirp/raw/master/LICENSE","cards"
"ms@2.0.0","MIT","https://github.com/zeit/ms","https://github.com/zeit/ms/raw/master/license.md","cards"
"ms@2.1.1","MIT","https://github.com/zeit/ms","https://github.com/zeit/ms/raw/master/license.md","send:cards"
